ClientID,ReportName,ReportFileName,ReportTypeCode,ReportType,PeriodStart,PeriodEnd,DueDate,SubmittedDate,TotalRows,ReportID,ReportVersionID,Status,IncidentalLobbying,ReportStatus,IsAfterDueDate,CreatedBy,CreatedDate,CreatedIPAddress,LobbyistClientID,LobbyistClientVersionID,LastModifiedBy,LastModifiedDate,LastModifiedIPAddress,Message,IsSuccess,Action,IsDirty,PersonID,PersonVersionID,MemberID
0,2021 May Lobbyist Expenditure Report (January - May) (Lobbyist Employer / Non-Compensated Lobbyist),46c0e6e2-0e5d-43ff-806b-ae03770af69a.pdf,LAR,Lobbyist Expenditure Report,01/01/2021,05/03/2021,05/05/2021,10/06/2021,14,11214,1,Y,False,Accepted,1,,,,,,,,,,0,,0,,,Ny-NGbKDUcqWTEtY8LOu-RvdURB3rTqQaRSLqBCgbuY1
0,2021 May Lobbyist Expenditure Report (January - May) (Lobbyist Employer / Non-Compensated Lobbyist),46c0e6e2-0e5d-43ff-806b-ae03770af69a.pdf,LAR,Lobbyist Expenditure Report,01/01/2021,05/03/2021,05/05/2021,10/06/2021,14,11214,1,Y,False,Accepted,1,,,,,,,,,,0,,0,,,Ny-NGbKDUcqWTEtY8LOu-RvdURB3rTqQaRSLqBCgbuY1
0,2021 October Lobbyist Expenditure Report (May - October) (Lobbyist Employer / Non-Compensated Lobbyist),1e766430-68a5-4fc8-86fe-cc06c5141b2c.pdf,LAR,Lobbyist Expenditure Report,05/04/2021,10/04/2021,10/06/2021,01/17/2023,8,12159,1,Y,False,Accepted,1,,,,,,,,,,0,,0,,,n4dZ068WYxI7-XhxT6sKbRvdURB3rTqQaRSLqBCgbuY1
0,2021 October Lobbyist Expenditure Report (May - October) (Lobbyist Employer / Non-Compensated Lobbyist),1e766430-68a5-4fc8-86fe-cc06c5141b2c.pdf,LAR,Lobbyist Expenditure Report,05/04/2021,10/04/2021,10/06/2021,01/17/2023,8,12159,1,Y,False,Accepted,1,,,,,,,,,,0,,0,,,n4dZ068WYxI7-XhxT6sKbRvdURB3rTqQaRSLqBCgbuY1
0,2021 October Lobbyist Expenditure Report (May - October) (Lobbyist Employer / Non-Compensated Lobbyist),1e766430-68a5-4fc8-86fe-cc06c5141b2c.pdf,LAR,Lobbyist Expenditure Report,05/04/2021,10/04/2021,10/06/2021,01/17/2023,8,12159,1,Y,False,Accepted,1,,,,,,,,,,0,,0,,,n4dZ068WYxI7-XhxT6sKbRvdURB3rTqQaRSLqBCgbuY1
0,2021 October Lobbyist Expenditure Report (May - October) (Lobbyist Employer / Non-Compensated Lobbyist),c40bac4c-55c4-4011-a7de-9d1072acbd55.pdf,LAR,Lobbyist Expenditure Report,05/04/2021,10/04/2021,10/04/2021,09/17/2021,2,11997,1,Y,False,Accepted,0,,,,,,,,,,0,,0,,,u_mUQVRzyig01EzQMf4DVBvdURB3rTqQaRSLqBCgbuY1
0,2021 October Lobbyist Expenditure Report (May - October) (Lobbyist Employer / Non-Compensated Lobbyist),c40bac4c-55c4-4011-a7de-9d1072acbd55.pdf,LAR,Lobbyist Expenditure Report,05/04/2021,10/04/2021,10/04/2021,09/17/2021,2,11997,1,Y,False,Accepted,0,,,,,,,,,,0,,0,,,u_mUQVRzyig01EzQMf4DVBvdURB3rTqQaRSLqBCgbuY1
0,2021 October Lobbyist Expenditure Report (May - October) (Lobbyist Employer / Non-Compensated Lobbyist),c40bac4c-55c4-4011-a7de-9d1072acbd55.pdf,LAR,Lobbyist Expenditure Report,05/04/2021,10/04/2021,10/04/2021,09/17/2021,2,11997,1,Y,False,Accepted,0,,,,,,,,,,0,,0,,,u_mUQVRzyig01EzQMf4DVBvdURB3rTqQaRSLqBCgbuY1
0,2021 October Lobbyist Expenditure Report (May - October) (Lobbyist Employer / Non-Compensated Lobbyist),c40bac4c-55c4-4011-a7de-9d1072acbd55.pdf,LAR,Lobbyist Expenditure Report,05/04/2021,10/04/2021,10/04/2021,09/17/2021,2,11997,1,Y,False,Accepted,0,,,,,,,,,,0,,0,,,u_mUQVRzyig01EzQMf4DVBvdURB3rTqQaRSLqBCgbuY1
0,2021 October Lobbyist Expenditure Report (May - October) (Lobbyist Employer / Non-Compensated Lobbyist),c40bac4c-55c4-4011-a7de-9d1072acbd55.pdf,LAR,Lobbyist Expenditure Report,05/04/2021,10/04/2021,10/04/2021,09/17/2021,2,11997,1,Y,False,Accepted,0,,,,,,,,,,0,,0,,,u_mUQVRzyig01EzQMf4DVBvdURB3rTqQaRSLqBCgbuY1
